name,lat,lon,timeBound,budget,importance,quality,area,profit,length,time,status
jog,58.5658,16.3701,5,25000,0,0.624863,-1.7138e+07,15621.6,27016.7,94,1
ils,58.5658,16.3701,5,25000,0,0.624863,-1.7138e+07,15621.6,27016.7,5000,1
sel,58.5658,16.3701,5,25000,0.5,0.00785102,0,392.551,24935.1,0,1
ilp,58.5658,16.3701,5,25000,0.5,-1,-1,-1,-1,9632,3
jog,58.5658,16.3701,5,25000,0.5,0.308067,-1.7138e+07,15621.6,27016.7,91,1
ils,58.5658,16.3701,5,25000,0.5,0.308067,-1.7138e+07,15621.6,27016.7,5000,1
sel,58.5658,16.3701,5,25000,1,0,0,392.551,24935.1,0,1
ilp,58.5658,16.3701,5,25000,1,-1,-1,-1,-1,9606,3
jog,58.5658,16.3701,5,25000,1,-0.012088,-2.37348e+07,8880.51,25659.2,85,1
ils,58.5658,16.3701,5,25000,1,-0.0119397,-2.34436e+07,7578.57,25626.6,5000,1
sel,58.5658,16.3701,5,50000,0,0.00785102,0,392.551,49911.3,0,1
ilp,58.5658,16.3701,5,50000,0,-1,-1,-1,-1,9590,3
jog,58.5658,16.3701,5,50000,0,-1,-1,-1,-1,478,2
ils,58.5658,16.3701,5,50000,0,-1,-1,-1,-1,478,2
sel,58.5658,16.3701,5,50000,0.5,0.00392551,0,392.551,49911.3,0,1
ilp,58.5658,16.3701,5,50000,0.5,-1,-1,-1,-1,9684,3
jog,58.5658,16.3701,5,50000,0.5,-1,-1,-1,-1,491,2
ils,58.5658,16.3701,5,50000,0.5,-1,-1,-1,-1,491,2
sel,58.5658,16.3701,5,50000,1,0,0,392.551,49911.3,0,1
ilp,58.5658,16.3701,5,50000,1,-1,-1,-1,-1,9762,3
jog,58.5658,16.3701,5,50000,1,-1,-1,-1,-1,484,2
ils,58.5658,16.3701,5,50000,1,-1,-1,-1,-1,484,2
sel,58.5658,16.3701,5,100000,0,0.00392551,0,392.551,99822.6,1,1
ilp,58.5658,16.3701,5,100000,0,-1,-1,-1,-1,9822,3
jog,58.5658,16.3701,5,100000,0,-1,-1,-1,-1,729,2
ils,58.5658,16.3701,5,100000,0,-1,-1,-1,-1,729,2
